name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
麺屋 江戸紫,35.69032942705867,139.77744797224662,19,11,0,11,13,0,0,5,6,0,0,0,0
ほしみ屋 日本橋浜町店,35.68601823872007,139.78865978441723,4,2,42,7,1,0,0,4,0,0,0,0,0
中華ラーメン うえだ,35.66185751968064,139.7801529473861,7,1,2,5,1,0,0,0,1,0,0,0,0
つじ田 勝どき店,35.65961963873368,139.7787766841575,0,6,0,2,33,0,0,0,10,0,0,0,0
東京餃子楼 京橋店,35.6774392387194,139.769491784344,1,0,0,2,0,0,0,1,0,0,0,0,2
掃部介,35.67285788093175,139.77277860890305,19,1,1,1,4,0,0,0,2,0,0,0,0
北海道らーめん みそ熊 築地店,35.66419243872901,139.77326338420752,3,3,42,5,3,1,0,0,3,0,2,0,0
幸家,35.659664358572975,139.77658306706368,14,6,1,6,0,19,0,0,0,0,0,0,0
風鈴屋,35.66813814470345,139.75897830565572,1,0,3,0,0,0,0,0,0,0,0,0,0
双葉,35.68611703871757,139.78103138442356,3,0,1,2,0,0,0,0,0,0,0,0,0
東京油組総本店 銀座組,35.66936133872305,139.76481848426565,2,0,4,3,0,0,0,0,0,30,0,0,0
喜多方ラーメン 坂内 京橋店,35.676158138721014,139.7719853843293,3,3,3,4,0,0,0,0,0,0,0,0,0
ラーメン 奥羽軒 人形町店,35.68582261615305,139.7808070532622,0,3,47,13,4,0,0,0,0,0,0,0,0
東竜　 新富店,35.672027838724254,139.77386388428636,11,0,3,3,1,0,0,3,0,0,0,0,0
鯛塩そば 灯花 コレド室町テラス店,35.68782733871377,139.7725197844468,3,0,0,28,12,0,0,0,3,0,0,0,0
横浜家系ラーメン 明豊家 築地店,35.66838143872572,139.77125808425126,0,1,0,1,0,0,0,0,0,0,0,0,0
銀座 八五,35.67053669419104,139.77013782398055,3,1,0,6,0,0,0,0,0,0,0,0,0
麺や 七彩,35.677130538721755,139.77627528433612,35,2,4,30,3,0,0,1,0,0,0,0,0
銀座 朧月,35.67158115210307,139.76140183474809,9,0,0,1,28,0,0,0,4,0,0,0,0
麺処 銀笹,35.666224738724594,139.76342108423498,7,4,1,39,2,0,0,0,6,0,0,0,0
自家製麺 伊藤 銀座店,35.6692925387231,139.7648906842649,0,0,0,7,0,0,0,0,0,0,0,0,0
なな蓮,35.68454307241642,139.77578143262247,11,0,2,4,4,0,0,0,10,0,0,0,0
支那麺 はしご 本店,35.67161233872053,139.76144658429075,4,1,0,3,0,0,0,7,0,0,0,0,0
麺 やまらぁ,35.6868875387183,139.7848983844286,5,1,10,6,2,0,0,10,1,0,14,0,13
crab台風。,35.683360638719485,139.78154978439534,0,11,1,0,1,0,0,0,1,4,0,0,0
中華そば たた味,35.69156983871367,139.77964138447962,4,0,1,1,0,0,0,0,0,0,0,0,0
銀座 篝 本店,35.6712400774738,139.76140185045048,6,0,0,0,4,1,0,0,0,0,0,0,16
博多ラーメン しばらく 日本橋店,35.68466813872026,139.786587284405,0,16,0,1,0,0,0,0,0,0,0,0,0
共楽,35.67211513872238,139.7682415842911,12,0,0,1,0,0,0,0,3,0,0,0,0
銀座鴨そば 九代目けいすけ 銀座店,35.66934323872303,139.76474868426553,5,1,0,2,3,0,0,0,0,7,0,0,1
駄目な隣人,35.68627670199136,139.78180999443077,10,0,0,1,2,0,0,0,0,0,0,0,0
長浜屋台 やまちゃん 銀座店,35.67042139890304,139.7684293600656,4,16,0,0,0,1,0,0,0,0,0,0,0
ふぐだし潮 八代目けいすけ 東急プラザ店,35.67213673872047,139.76228558429548,8,0,0,6,0,0,0,0,4,0,0,0,0
らーめん一郎,35.67302493872067,139.76467858430277,22,1,0,4,0,0,0,0,1,0,0,0,0
昭和,35.677720784934685,139.77797739769167,5,1,4,11,0,0,0,0,0,0,0,0,0
らーめん 七彩飯店,35.67939604017188,139.77104261871477,5,0,1,2,0,0,0,0,0,2,0,0,0
銀座たんめん,35.6693579149051,139.76919434549833,0,0,1,8,0,0,0,0,0,0,0,0,0
焼きあご塩らー麺たかはし 銀座店,35.66972043872297,139.76529018426896,5,4,10,16,3,0,0,0,9,0,0,0,0
船見坂,35.67138492308059,139.76935257235937,4,1,15,18,0,0,0,0,1,0,0,0,0
火の豚 人形町駅前店,35.68624521569149,139.7816847528714,4,0,2,2,3,0,7,0,0,1,0,0,0
香味徳  銀座店,35.6735703387219,139.76960118430483,8,2,8,0,7,0,0,0,5,0,0,0,0
人形町 兎屋,35.68692713871733,139.7819100844311,11,9,0,1,5,0,0,0,1,0,0,0,0
支那麺 はしご 入船店,35.67163113872513,139.77590308428083,3,0,0,1,0,0,0,9,0,0,0,0,0
支那麺 はしご 銀座八丁目店,35.66756233872334,139.76215868424936,6,0,0,3,0,0,0,12,0,0,0,0,0
銀座 創龍,35.67159615471929,139.76164348065538,38,5,1,2,3,0,1,0,2,0,0,0,0
東京スタイルみそらーめん ど・みそ  京橋本店,35.675412538720295,139.76823598432438,0,2,57,1,1,0,0,0,2,0,0,0,0
175°DENO担担麺 GINZa,35.67359133872101,139.76686528430696,0,0,0,1,0,0,0,11,0,0,1,0,0
松富,35.67137623872072,139.7615548842883,5,0,2,8,2,0,0,9,1,0,0,0,0
月島ロック,35.66536583873192,139.7846892842114,10,2,6,3,0,0,0,0,0,0,0,0,0
熊公,35.696064838711855,139.78289178452272,0,0,12,1,0,0,1,0,0,0,1,0,0
ウミノイロ マグロ卸のマグロ丼とラーメンの店,35.669617938724244,139.76907538426528,6,0,0,7,0,0,0,0,0,0,0,0,2
西北拉麺,35.68265872743852,139.78583985069722,1,0,3,0,0,0,0,7,0,0,0,0,0
三吉,35.66784803872245,139.75991388425382,10,2,0,3,0,0,0,0,1,0,0,0,0
室壱羅麺,35.68592103871595,139.7755551844254,3,8,15,0,2,0,0,0,11,0,0,0,0
寿限無 担々麺,35.68715788351616,139.7809786583805,3,0,0,1,0,0,0,47,0,0,0,0,0
中華そば 三浦,35.6833102358427,139.78076885295752,12,13,0,4,0,0,0,0,0,0,0,0,0
笠岡らーめん TAKETONBO,35.66769373872598,139.77068448424473,23,0,2,17,2,1,0,0,2,0,0,0,0
えびそば 一幻 八重洲地下街店,35.67861301688898,139.76809539953283,3,2,16,13,0,0,0,0,0,0,0,0,0
支那麺 はしご 銀座四丁目店,35.6697735387241,139.76896498426692,8,0,0,0,1,0,0,15,0,0,0,0,0
麺屋優光 銀座店,35.670200138721015,139.76011788427746,17,0,0,6,0,0,0,0,0,0,0,0,0
長岡食堂 東京ラーメン横丁店,35.68148345851688,139.76960242618603,46,1,6,13,0,1,0,0,0,2,0,0,0
ABCらーめん,35.672703538721414,139.76636158429832,9,1,11,5,3,0,0,4,0,0,0,0,0
