name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
ラーメン いいかお,35.73928336919764,139.73040490301767,37,1,7,3,5,0,0,0,3,0,0,0,0
元祖めんたい煮こみつけ麺,35.72833243866889,139.71237918489808,0,0,3,0,22,0,0,0,0,0,0,0,0
船見坂,35.67138492308059,139.76935257235937,4,1,15,20,0,0,0,0,1,0,0,0,0
駄目な隣人 新宿店,35.69520672841719,139.70052552497697,14,0,0,2,0,0,0,0,1,0,1,0,0
九月堂,35.66387933870568,139.69938728425615,5,3,1,9,6,0,0,4,5,0,0,0,0
江戸前煮干中華そば きみはん 総本店,35.722095538694866,139.78150888478663,23,0,2,19,5,0,1,0,2,0,0,0,0
麺屋ぬかじ,35.662701282376794,139.6985816274719,3,1,0,1,22,0,3,0,5,0,0,0,0
中華そば つけそば 伊蔵八本店,35.732274238683885,139.7673336848994,10,2,5,0,4,0,0,0,4,0,0,0,0
麺ダイニング ととこ,35.696097638704956,139.7613057845382,11,0,0,1,0,0,0,1,0,0,0,1,0
麺堂にしき 新宿歌舞伎町店,35.6948147386871,139.70268318456633,22,0,0,5,8,0,0,0,12,2,0,0,0
らーめん 谷瀬家,35.66628983872212,139.75581418424096,9,4,0,1,2,28,0,0,0,0,0,0,0
香味徳  銀座店,35.6735703387219,139.76960118430483,8,2,8,0,7,0,0,0,5,0,0,0,0
香湯ラーメン ちょろり 恵比寿店,35.644554338723,139.71518058404988,9,0,1,17,0,0,0,0,0,0,0,0,0
支那そばはせべ,35.62680833873769,139.7259361838631,2,0,1,1,0,0,0,0,4,0,0,0,0
麺亭 しま田,35.64811593871869,139.70876668409036,10,0,0,3,7,0,0,0,0,0,5,0,0
麺や いま村,35.73287053867485,139.74013408492448,18,0,2,15,0,0,0,0,0,0,0,0,16
田中そば店 新橋店,35.6673918387206,139.75317368425394,2,8,0,7,0,0,0,0,0,0,0,0,0
横浜ラーメン 武蔵家 御茶ノ水店,35.697837530270526,139.76254108679737,13,10,5,4,1,27,1,0,0,0,0,0,0
LOKAHI,35.73366353867007,139.7267022849419,3,0,0,14,6,0,0,0,6,0,0,0,0
たきちゃんラーメン,35.667990038719225,139.75008748426214,4,2,0,6,0,1,0,0,0,0,0,0,0
栄屋 ミルクホール,35.69319552422441,139.77006834189808,4,0,0,0,0,0,0,0,0,0,0,0,0
