name,latitude,longitude,醤油,豚骨,味噌,塩,つけ麺,家系,二郎系,担々麺,魚介,油そば,まぜそば,ちゃんぽん,鶏白湯
Homemade Ramen 麦苗,35.59077368304886,139.73280320923644,22,0,0,16,0,0,0,0,0,0,0,0,0
中華そば 多賀野,35.60970995466706,139.71155021247182,13,0,0,11,2,0,0,1,3,0,0,0,0
中華そば 和渦 TOKYO,35.6218922387448,139.7384383838047,16,0,6,5,3,0,0,0,2,3,0,0,0
麺や 維新,35.63419113873071,139.71875998394273,23,0,0,4,0,0,0,0,1,0,0,0,0
麺壱 吉兆,35.60730643875365,139.7371836836582,5,3,0,4,0,0,0,0,3,0,0,0,0
井田商店,35.60925526722746,139.71075724370687,42,1,2,14,3,0,0,0,2,0,1,0,0
永楽,35.607520438753035,139.73564198366148,4,0,0,5,0,0,0,0,0,0,0,0,0
ラーメン二郎 品川店,35.62397653874493,139.7430506838225,5,0,0,4,0,0,0,0,0,0,0,0,0
六厘舎 大崎店,35.616780345714425,139.7295247830408,0,9,0,0,19,0,0,0,11,0,0,0,0
麺屋 彩音,35.626423618362296,139.7214900063343,27,0,0,29,0,1,0,0,2,10,0,0,0
家系ラーメン まこと家,35.60894393875439,139.74277438367085,11,5,5,2,0,23,0,0,0,0,0,0,0
らーめん えにし,35.61583593874076,139.71370438376084,23,0,1,16,4,0,0,0,0,0,6,0,0
一途,35.61956189594982,139.70808643542568,4,1,9,1,2,0,0,0,0,0,2,0,0
ボニート・ボニート,35.61954893873484,139.7025123838062,9,0,0,4,1,0,1,0,0,0,0,0,0
丸 中華そば,35.606538404509934,139.73060488711815,16,0,5,16,0,0,0,0,1,0,0,0,0
麺屋 藤しろ,35.63411773872952,139.71490768394463,1,4,2,3,9,1,1,0,1,0,0,0,23
のスた,35.60480005487993,139.734929885742,9,0,0,22,1,0,6,0,2,0,0,0,0
荏原町 しなてつ,35.60325864327206,139.70828772489565,10,0,0,13,1,0,0,4,1,0,0,0,0
煮干しNoodles Nibo Nibo Cino,35.605602538744016,139.70351858366462,2,0,0,5,0,0,0,0,0,1,4,0,0
平太周 味庵,35.62241379947329,139.72320727055728,11,4,7,2,0,1,0,0,0,0,1,0,0
武蔵家 大井町店,35.60730353875341,139.73640988365875,2,3,0,3,0,25,0,0,0,0,0,0,0
中華蕎麦 無冠,35.62687168111167,139.72205569660647,0,0,4,14,0,0,0,0,0,0,0,0,0
支那そばはせべ,35.62680833873769,139.7259361838631,2,0,1,1,0,0,0,0,4,0,0,0,0
江戸前煮干中華そば きみはん 五反田店,35.62554313873791,139.7241113838516,2,0,4,4,4,0,3,0,1,0,0,0,0
銀座 いし井 五反田店,35.62361013873851,139.72213088383344,0,1,0,0,13,0,0,0,2,0,0,0,0
風は南から,35.61903923873555,139.70373188380017,62,0,8,14,0,0,1,0,2,0,0,0,0
麺屋 焔,35.60471643820135,139.73409912525312,12,0,0,63,0,1,0,0,6,0,0,0,0
横浜家系らーめん 武術家,35.604986638754255,139.73441948363674,11,17,0,2,2,50,0,0,0,0,0,1,0
ザ・ラーメン スモールアックス,35.6074958951108,139.73592995634263,13,3,1,2,0,0,15,0,0,0,0,0,0
のりや食堂,35.60564609299741,139.73593170803207,11,24,0,1,1,0,0,0,0,0,0,0,0
きりきり舞,35.62429531543714,139.7101982643255,7,2,1,0,4,0,0,0,4,0,0,0,0
広州市場 五反田店,35.62585765049851,139.72622519469115,11,0,0,23,0,0,0,1,2,0,0,0,0
丸吉飯店,35.60504813875422,139.73444758363735,5,0,0,1,0,1,0,0,0,0,0,0,0
豚風。,35.605163913573456,139.70362385784057,3,0,4,2,2,0,9,0,0,0,1,0,0
爆龍,35.618098363623155,139.70363492806217,8,1,6,7,1,0,3,0,0,1,2,0,0
らあめん工房 じらい屋,35.61858917361363,139.70343079728767,24,0,16,29,0,0,1,0,0,0,3,0,0
ラーメン ぶぅさん,35.60993276597344,139.71483409615365,5,1,0,0,2,0,25,4,0,5,1,0,0
らーめん幸龍,35.607116538751534,139.73009488366125,4,19,6,3,14,0,0,0,14,0,1,0,0
濃厚豚骨ラーメン 濱虎家,35.60746163875322,139.73612618366053,16,11,1,5,1,20,0,0,0,2,0,0,0
イレブンフーズ 源流 南品川店,35.61452168746708,139.7448008405812,5,8,0,20,1,3,0,0,0,0,0,0,0
博多ばってんラーメン,35.61796163874086,139.71824988377912,1,15,0,5,0,0,0,0,0,0,0,0,0
味丸,35.61816643874844,139.7424599837642,6,0,0,0,0,0,0,0,0,0,0,0,0
ラーメン タロー 五反田の陣,35.62280124645057,139.7225442522266,7,2,0,1,0,0,12,0,0,0,1,0,0
麺家 ぶらいとん,35.60573383874394,139.70353528366593,6,5,0,2,9,6,0,0,3,10,1,0,0
麺場 風天,35.60724573875357,139.7367781836579,4,2,1,8,39,0,15,0,20,1,0,0,0
桜田 みそら,35.62459713873719,139.71997828384497,0,0,60,0,9,1,0,6,3,0,0,0,0
肉汁らーめん 公,35.6188583387488,139.74495678376945,12,11,0,6,1,0,20,0,0,0,0,1,0
でびっと 中延本店,35.60614363874665,139.71287478366352,23,26,2,9,3,1,0,7,1,0,0,0,0
龍輝,35.614519238743725,139.72034768374309,2,0,1,0,0,0,0,7,0,0,0,0,1
らー麺 家道,35.61571852141108,139.71399806586606,6,9,0,1,0,61,0,0,2,0,0,0,0
ゆうすけ,35.60339306720103,139.70793635899855,0,0,14,13,3,0,0,0,0,0,0,0,31
蒙古タンメン中本 目黒店,35.63484253872973,139.71696768395051,0,0,8,1,2,0,0,0,1,0,0,1,0
九州ラーメン 銀嶺,35.620850359818256,139.7075466987053,8,13,2,4,0,0,0,0,0,0,0,0,0
香家 目黒東口店,35.63411723873067,139.71847018394215,1,1,1,7,0,0,0,26,0,0,0,0,0
つるん,35.60940516581996,139.7058695871691,0,0,1,31,1,0,0,4,0,0,20,0,4
地獄の担担麺 護摩龍 五反田,35.62490115700752,139.73028240177922,0,1,7,0,1,0,0,1,0,0,0,0,0
ラーメン家 がんくろ,35.618112438736965,139.706319183789,12,7,0,15,0,52,0,0,1,0,3,0,0
つけめん処　けんみん,35.62541880573382,139.71360671826966,3,7,4,6,55,0,0,1,18,0,0,0,0
豚山 五反田店,35.62582567229646,139.72409676181852,2,1,0,3,8,1,15,0,0,0,0,0,0
麺でる 戸越公園店,35.60870544748782,139.71771030268187,9,1,0,3,1,0,8,0,0,0,0,0,0
つけ麺GAKU,35.627024538735846,139.72057978386903,0,1,0,1,50,0,0,0,0,0,4,0,0
越後つけ麺 維新 大井町店,35.60761673875236,139.73373478366378,3,12,0,3,53,0,0,0,4,0,0,0,0
麺也 時しらず,35.60528494388869,139.73154486676452,8,2,0,0,29,0,0,0,11,0,1,0,2
ラーメン道楽 鮫洲店,35.60424856259294,139.74153602916087,5,11,0,1,0,4,0,0,0,0,0,0,0
大公楼,35.60735533874316,139.70437288368174,7,0,2,6,8,0,0,0,0,0,0,0,0
ぶるんちょ,35.62536669424847,139.71618188472488,0,1,54,2,0,0,0,0,0,0,0,0,1
ラーメン魁力屋 五反田店,35.62491160121207,139.7239715365262,23,1,4,1,0,0,0,0,0,0,0,0,3
奈つやの中華そば,35.62590113873456,139.71431478386208,5,0,0,1,4,0,0,0,4,0,0,0,0
真鯛らーめん 麺魚 五反田店,35.62362913873847,139.7220613838337,2,0,0,7,7,1,0,0,0,2,0,0,0
呑み処 談,35.62671793873758,139.7255384838623,2,0,9,1,29,0,0,0,0,1,0,0,0
春日亭 五反田店,35.62599205628916,139.72483530393316,3,0,2,0,1,0,0,3,0,42,0,0,0
函館らーめん 汐のや,35.61492683873673,139.6992300837618,4,0,9,42,0,0,0,0,1,0,0,0,0
